group ic4fq86/STATE,LGABAYELSA,LGADELTA,LGAEDO,LGARIVERS,Description of Sub project Component,Location of Sub Project,Status of Project,Physical Output,Name of Contractor,Contractor Amount,Beneficiary Wages,calculation,Amount Disbursed Till Date,1st Picture of Site,,Number of Male Beneficiaries,Number of female Beneficiaries,Number of Beneficiaries Present on Site,Are there working ma ls for Beneficiaries,Are the PPEs adequate for Beneficiaries,Have Beneficiaries Received th,Reasons for no Payment,Percentage Level of Work Done
rivers,n/a,n/a,n/a,gokana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,eleme,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,tai,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,khana,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,"MAINTENANCE OF POLICE,ELEBA ROAD,OMOKU MAIN TOWN,OGBA-EGBEMA,NDONI",RIVERS SOUTH WEST,completed,100%,HABARI INTEGRATED RESOURCE LIMITED,2.54E+07,1.42E+07,39614299,3.96E+07,1570622057469.jpg,1570622087884.jpg,45,19,64,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogu bolo,"MAINTENANCE OF PALACE MISSION ROAD, BOLO",BOLO TOWN,completed,REINFORCED CONCRETE PAVEMENT WORK OF 250MX6M,LEEWAY DIRECT SERVICES LTD,2.24E+07,1.37E+07,36060118,3.61E+07,1570622907857.jpg,n/a,42,18,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ogba egbema nd,"MAINTENANCE OF MARKET ROAD,ONELGA",RIVERS SOUTH WEST,completed,100%,OGORJUST RESOURCES NIGERIA LIMITED,1.74E+07,1.12E+07,28594648,2.86E+07,1570621152901.jpg,1570621382787.jpg,36,16,52,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ogba egbema nd,"MAINTENANCE OF SUNDAY AGUBA ROAD,OFF OBOR ROAD,OMOKU TOWN,ONELGA",RIVERS SOUTH WEST,completed,100%,MARTHKERRY INTEGRATED SERVICES LIMITED,2.09E+07,1.49E+07,35731781,3.57E+07,1570620416442.jpg,1570620495962.jpg,49,17,66,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ogu bolo,"MAINTENANCE OF MISSION ROAD, OGU BOLO L.G.A",OGU,completed,REINFORCED CONCRETE PAVEMENT,ROYAL VIEW SERVICES LTD,1.77E+07,1.19E+07,29548652,2.95E+07,1570625870144.jpg,n/a,38,17,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ogu bolo,"MAINTENANCE OF SANDFILL ROAD, OGU.",OGU/BOLO,completed,"CUTTING OF FAILED SECTIONS, FILLING AND COMPACTION OF SHARP RIVER SAND, CONCRETING ",JESMIST SERVICES LTD,1.87E+07,1.24E+07,31028526,3.10E+07,1570626507306.jpg,n/a,36,15,0,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,MAINTENANCE OF UBET/IBAGWU ROAD OBOBURU TOWN,RIVERS SOUTH WEST,completed,100%,NAHOM INTEGRATED SERVICES,2.84E+07,1.90E+07,4.75E+07,4.75E+07,1570629031551.jpg,1570629092522.jpg,57,25,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada east,MAINTENANCE OF ABARIKPO/UBIO ROAD,RIVERS SOUTH WEST,completed,100%,IBEHE JOYIN NIGERIA LIMITED,2.38E+07,1.40E+07,37879917,3.79E+07,1570630811418.jpg,1570630911172.jpg,50,22,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada east,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogba egbema nd,MAINTENANCE OF OSIAKPU/ELETA ROAD FROM OMOKU /ELELE ROAD TO ELETA TOWN,RIVERS SOUTH WEST,on going,90%,AGIOMA ASSOCIATES,2.04E+07,1.42E+07,3.46E+07,3.11E+07,1570624295794.jpg,1570624458267.jpg,43,20,64,yes,yes,yes,n/a,90
rivers,n/a,n/a,n/a,ogba egbema nd,"MAINTENANCE OF UBETA IBAGWA ROAD, PHASE 2 OBOBURU ONELGA",RIVERS SOUTH WEST,on going,70%,DJJ ENGINEERING LIMITED,2.06E+07,1.46E+07,35242067,2.50E+07,1570629236517.jpg,1570629379613.jpg,49,16,66,yes,yes,yes,n/a,70
rivers,n/a,n/a,n/a,ogba egbema nd,MAINTENANCE OF EGBEDA COMMUNITY ROAD FROM BRIDGE TO WALFARE JUNCTION,RIVERS SOUTH WEST,on going,70%,DAPHILESS INFO TECH SERVICES,1.04E+07,7980000,1.84E+07,1.84E+07,1570623404809.jpg,1570623537739.jpg,41,9,51,yes,yes,yes,n/a,70
rivers,n/a,n/a,n/a,ogu bolo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ogu bolo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,yenegoa,n/a,n/a,n/a,CONSTRUCTION OF 120M * 7.3M CONCRETE ROAD,EDE-EPIE,completed,COMPLETED,GEOGONI NIG LTD,1.17E+07,1.08E+07,2.25E+07,1.17E+07,1569589301559.jpg,1569589339573.jpg,15,29,0,n/a,n/a,n/a,n/a,100
rivers,n/a,n/a,n/a,okrika,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,okrika,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,okrika,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,okrika,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,okrika,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 300M X 3M CONCRETE ROAD ,OPUAMA,completed,100%,KUBOSELE NIG. ENTERPRISE,7333200,7440000,14773200,1.48E+07,1570191522054.jpg,1570191503379.jpg,28,2,30,n/a,yes,yes,n/a,100
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 200M X 3M CONCRETE ROAD IN AGUOBIRI,AGUOBIRI,completed,100%,BELIEVE GOD K. & SONS ENTERPRISE,8119453,8640000,16759453,1.68E+07,1570187692398.jpg,1570187716302.jpg,25,10,35,n/a,yes,yes,n/a,100
bayelsa,southern ijaw,n/a,n/a,n/a,CONSTRUCTION OF 150M X 4M CONCRETE ROAD IN KEMEINGBENE,KEMEINGBENE ,completed,100%,KETTISCO INTEGRATED SERVICES,6891809,8640000,15531809,1.55E+07,1570194207066.jpg,1570193801930.jpg,25,10,35,n/a,yes,yes,n/a,100
delta,n/a,isoko south,n/a,n/a,CONSTRUCTION OF DRAINS  AND CULVET SAND,OLEH,completed,12 MONTHS ACTIVITIES THAT INVOLVE CONSTRUCTION,ATTAH INTERGRATED SERVICES ,1.03E+07,1.31E+07,2.35E+07,2.35E+07,1570547639500.jpg,1570547687839.jpg,37,20,57,yes,yes,yes,n/a,100
bayelsa,ikpoba okha,n/a,n/a,n/a,CONSTRUCTION OF 150*3 CONCRETE ROAD,ASOAMA,completed,COMPLETED ,EBIPERES GLOBAL VENTURES ,7388806.6,7440000,1.48E+07,1.48E+07,1570704018915.jpg,1570704038400.jpg,20,10,30,n/a,n/a,yes,n/a,100
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,opobo nkoro,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada west,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,eleme,"MAINTENANCE OF SCHOOL ROAD, AGBOCHA","ELEME, RIVERS SOUTH-EAST  SENATORIAL DISTRICT ",completed,100%,INTENCO NIG LTD,2.30E+07,1.35E+07,36494769,3.65E+07,1570713718410.jpg,1570713875737.jpg,39,17,56,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,eleme,MAINTENANCE OF ALETO SCHOOL ROAD 1,"ALETO, ELEME SOUTH EAST SEN DISTRICT ",on going,95%,ROCIS SEES LIMITED ,2.12E+07,1.46E+07,35883238,3.28E+07,1570714436416.jpg,1570714478672.jpg,41,25,66,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,eleme,"MAINTENANCE  OF ALETO SCHOOL ROAD II, ELEME ",ELEME RIVERS SOUTH -EAST SENATORIAL DISTRICT ,on going,95%,JOSHAL WORLDWIDE SOLUTION CO.,1.90E+07,1.33E+07,32378866,2.93E+07,1570715128624.jpg,1570715263022.jpg,43,17,60,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,ogba egbema nd,"MAINTENANCE OF IKIRI-ELELE ROAD,ONELGA",RIVERS SOUTH WEST,completed,100%,CHRYSBELL INTERNATIONAL LIMITED,2.01E+07,1.53E+07,3.54E+07,3.54E+07,1570624711067.jpg,1570624776104.jpg,48,21,69,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada west,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,andoni,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada east,MAINTENANCE OF ODIMISAMA ROAD PHASE 2,RIVERS SOUTH WEST,on going,95,"SAJBICO SERVICE NIGERIA, LIMITED",1.94E+09,8736000,1951687951,2.82E+07,1570703699729.jpg,1570703860397.jpg,41,14,56,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,ahoada east,MAINTENANCE OF UBIE IGBUDUYA STREETS  JUNCTION,RIVETS SOUTH WEST,completed,100%,BEKAYSON NIGERIA LIMITED,2.47E+07,1.81E+07,4.28E+07,4.28E+07,1570707147908.jpg,1570707212106.jpg,45,19,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada east,CONSTUCTION OF DRINAGE AT ODIEMERENYI PHASE 1 APSTOLIC CHURCH AHOADA.,RIVERS SOUTH WEST,on going,50%,GEONUE INTEGRATED SERVICE LIMITED,1.11E+07,6888000,1.80E+07,1.80E+08,1570704906286.jpg,1570705012816.jpg,51,10,62,yes,yes,yes,n/a,50
rivers,n/a,n/a,n/a,ahoada east,DRINAGE CONSTUCTION AT ODIEMERENYI TOWN AKAMA ROAD PHASE 2 AHOADA EAST,RIVERS SOUTH WEST,on going,80%,SPLENANVIS NIGERIA LIMITED,1.52E+09,1.14E+07,1527654588,2.65E+09,1570705635041.jpg,1570705671955.jpg,53,10,64,yes,yes,yes,n/a,80
bayelsa,egor,n/a,n/a,n/a,"CONSTRUCTION OF  200M X 4M CONCRETE ROAD WITH ONE CULVERT,  EKEREMOR. ",EKEREMOR ,on going,2,PEREBOWIE & SONS NIG.  ENTERPRISE ,8.90E+08,1.06E+09,1946436000,n/a,1570614591345.jpg,1570614656386.jpg,25,18,n/a,n/a,yes,AUTOMATIC,DOCUMENTATION STILL ON GOING ,2
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 250M X 3M CONCRETE ROAD IN OROBIRI,OROBIRI,completed,COMPLETED ,TEMPODEMES ENTERPRISES ,7.93E+08,8.64E+08,1656972973,1.66E+09,1570554734385.jpg,1570554773869.jpg,25,10,n/a,n/a,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 700M X 1.5M CONCRETE WALKWAY.,EKEREMOR TOWN,completed,100,OKOGLOBE BUILDING CONSTRUCTION COMPANY ,1.02E+09,2.08E+09,3099397184,3.10E+10,1570615312167.jpg,1570615389591.jpg,33,10,n/a,n/a,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 250M X 3M CONCRETE ROAD IN AGGE,AGGE,completed,COMPLETED ,GOLU ABIOLA & JUSTINA LTD,8.31E+08,8.64E+08,1694749060,1.69E+09,1570534809104.jpg,1570534847740.jpg,20,15,n/a,n/a,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,"CONSTRUCTION OF 280M X 3M CONCRETE ROAD, TORU-NDORO ",TORU-NDORO,on going,2,LEEMAN GLOBAL RESOURCES,1.13E+07,9.84E+08,995308718,n/a,1570531167245.jpg,1570531233537.jpg,25,15,0,n/a,n/a,AUTOMATIC,DOCUMENTATION STILL ON GOING ,2
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 350 X1.5M CONCRETE  WALKWAY  ,TORU-NDORO ,completed,COMPLETED,FDK INTEGRATED SERVICES LTD ,1.08E+09,9.84E+08,2067783000,2.07E+09,1570526762792.jpg,1570526902900.jpg,25,15,n/a,n/a,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 300M X 3M CONCRETE  ROAD ,TEMEKIRI-ZION ,on going,3,KUBOSELE NIG. ENTERPRISE ,9.18E+08,8.64E+08,1782483300,0,1570616420559.jpg,1570616437268.jpg,25,10,n/a,n/a,n/a,AUTOMATIC,DOCUMENTATION PROCESS STILL ON GOING ,3
bayelsa,egor,n/a,n/a,n/a,CLEARING AND MAINTENANCE OF MOST PULIC PLACE ,EGBAMA-AGALABIRI ,completed,100,TEMPODEMES ENTERPRISES,4.66E+08,6.24E+08,1089659500,1.09E+09,1570632737999.jpg,1570632824218.jpg,22,3,n/a,n/a,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 150M X 5M CONCRETE ROAD,ISAMPOU ,completed,100,PETOBOM NIG.  LTD,7.64E+08,9.84E+08,1748170704,1.75E+09,1570641763418.jpg,1570641945273.jpg,30,10,n/a,n/a,yes,yes,n/a,100
bayelsa,owan west,n/a,n/a,n/a,CONSTRUCTION 100M X 4M CONCRETE LIBRARY ROAD IN AKAKUMAMA ,AKAKUMAMA ,completed,COMPLETED ,EBI-DON-SO RESOURCES ,6755775.02,7440000,1.42E+07,6755775.02,1570015449424.jpg,1570015520700.jpg,25,5,0,n/a,n/a,n/a,n/a,100
bayelsa,owan west,n/a,n/a,n/a,CONSTRUCTION OF 150M X 6M CONCRETE ROAD IN BASSAMBIRI ,BASSAMBIRI ,completed,COMPLETED ,KALASON INTEGRATED SERVICES ,6985189.43,7440000,1.44E+07,6985189.43,1570097484377.jpg,1570097510661.jpg,28,2,0,n/a,n/a,n/a,n/a,100
bayelsa,owan west,n/a,n/a,n/a,CONSTRUCTION OF 200M X 3M CONCRETE ROAD IN IGBETA IWOAMA,IGBETA IWOAMA,completed,COMPLETED,DE-HENRYWIZY & SONS NIG LTD,6967000,7440000,14407000,6967000,1570102814656.jpg,1570102839771.jpg,25,5,0,n/a,n/a,n/a,n/a,100
rivers,n/a,n/a,n/a,bonny,"MAINTENANCE OF CABLE ROAD,BONNY",RIVERS SOUTH WEST,completed,100%,OGBOLOGWUNG INTEGRATED SERVICES LIMITED,1.72E+07,1.27E+07,3.00E+07,3.00E+07,1570887790441.jpg,1570888345209.jpg,41,18,59,yes,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 300M X 3M CONCRETE ROAD,"AYAMASA, EKEREMOR LGA, BAYELSA STATE.",completed,CONSTRUCTION COMPLETED.,GOLU -ABIOLA & JUSTINA LTD,9570113.03,9840000,1.94E+07,1.94E+07,1570885809864.jpg,1570886634759.jpg,30,10,0,no,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 350M X 1.5M CONCRETE WALK WAY.,ALEIBIRI,completed,COMPLETED,BENSONA GLOBAL NIG. LTD,7539532.35,7440000,1.50E+07,1.50E+07,1570893360985.jpg,1570893392979.jpg,25,5,0,no,yes,yes,n/a,100
bayelsa,egor,n/a,n/a,n/a,CONSTRUCTION OF 300M X 3M CONCRETE ROAD,"AYAMASA, EKEREMOR LGA, BAYELSA STATE.",on going,3,DAUFA GLOBAL SERVICES,8017086,8640000,16657086,0,1570888391537.jpg,1570887658969.jpg,22,13,0,no,yes,AUTOMATIC,BENEFICIARIES DOCUMENTATION AND BANK OPENING PROCESS NOT COMPLETION.,3
delta,n/a,warri south,n/a,n/a,SWEEPING AND CLEANING OF FIVE ROADS IN WARRI SOUTH,WARRI,completed,COMPLETED ,MICROPRO GLOBAL COMM,7691680,9497749,17189429,1.72E+07,1570108724868.jpg,1570108749460.jpg,14,40,0,yes,yes,yes,n/a,100
delta,n/a,warri south,n/a,n/a,ROAD CLEANING /SWEEPING,WARRI,completed,COMPLETED ,MICROPRO GLOBAL COMM,1.03E+07,5837754,16111816,1.61E+07,1570105928182.jpg,1570105955704.jpg,12,20,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,bonny,MAINTENANCE OF OGOGO COMMUNITY ROAD BONNY,RIVERS SOUTH WEST,completed,100%,BEMED SERVICES LIMITED,2.00E+07,1.43E+07,3.42E+07,3.42E+07,1570884157171.jpg,1570884351149.jpg,48,21,69,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,bonny,MAINTENANCE OF OGOGO COMMUNITY ROAD BONNY,RIVERS SOUTH WEST,completed,100%,BEMED SERVICES LIMITED,2.00E+07,1.43E+07,3.42E+07,3.42E+07,1570884157171.jpg,1570884351149.jpg,48,21,69,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,oyigbo,"MAINTENANCE OF CHIEF UFORJI STREET, OYIGBO","OYIGBO, RIVERS SOUTH EAST SENATORIAL DISTRICT",on going,95%,DIZIBE INVESTMENT LIMITED,2.57E+07,1.16E+07,37271225,3.30E+07,1571051470720.jpg,1571051532167.jpg,34,18,52,yes,yes,yes,n/a,95
rivers,n/a,n/a,n/a,oyigbo,MAINTENANCE OF IROEGU/RIGHT WING OF IMO STREET ,OYIGBO,completed,100%,LIKE-BEST GLOBAL RESOURCES LTD,2.06E+07,9936000,30517817,3.05E+07,1571049819244.jpg,1571050021677.jpg,22,14,46,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,oyigbo,"IMO ROAD, FROM IMO STREET BY MARKET ROAD JUNCTION",OYIGBO LOCAL GOVERNMENT AREA,completed,100%,CHYKE N. MERCHANDISE,2.33E+07,1.49E+07,38174553,3.82E+07,1571049823510.jpg,1571049753934.jpg,51,18,69,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,oyigbo,"MAINTENANCE OF EHI ROAD, EHI COMMUNITY",OYIGBO LOCAL GOVERNMENT AREA,completed,100%,MOSIK GLOBAL INVESTMENT LIMITED,2.51E+07,1.36E+07,38694565,3.87E+07,1571053429264.jpg,1571053444107.jpg,52,22,74,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,degema,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,degema,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,oyigbo,"MAINTENANCE OF PALACE ROAD, ISAIAH, ELETO, NWAFOR, ANAMBRA & NDOKU STREETS IN OYIGBO","OYIGBO, RIVERS SOUTH EAST SENATORIAL DISTRICT",completed,100%,ADASO NIGERIA LIMITED,1.87E+07,1.05E+07,29216586,2.92E+07,1571054639445.jpg,1571054679055.jpg,33,14,47,no,no,AUTOMATIC,n/a,100
rivers,n/a,n/a,n/a,degema,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,degema,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,degema,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,oyigbo,MAINTENANCE OF UMUOGBAI-OBUAKPU ROAD ,UMUOGBAI-OBUAKPU COMMUNITY ,completed,100%,ONABS GLOBAL SERVICES NIGERIA LIMITED,2.85E+07,1.52E+07,43726976,4.00E+07,1571059546825.jpg,1571059641193.jpg,47,21,68,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,oyigbo,MAINTENANCE OF IJEOMA STREET,OYIGBO,completed,100%,ENROSYN NIG LTD,1.82E+07,1.24E+07,30529298,3.05E+07,1571052286158.jpg,1571052460020.jpg,35,16,51,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,obia akpor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,ahoada west,MAINTENANCE OF MBIANA/AGBO/ AKIOGBOLOGBO ROAD,RIVERS SOUTH WEST,completed,100%,OCEANSANDS PROSPECTING NIGERIA LIMITED,3.38E+07,1.18E+07,4.56E+07,4.56E+07,1571057498435.jpg,1571057666723.jpg,34,15,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ahoada west,MAINTENANCE OF AKINIMA/JK ROAD,RIVERS SOUTH WEST,completed,100%,DIASEIGHT NIGERIA RESOURCE'S LIMITED,1.14E+07,1.32E+07,24596500,2.46E+07,1571060074337.jpg,1571060248814.jpg,45,20,0,yes,yes,yes,n/a,100
rivers,n/a,n/a,n/a,ikwerre,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,bonny,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,bonny,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,bonny,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,opobo nkoro,DIEPRIYE/PETERSIDE RING ROAD,OPOBO TOWN,on going,90%,DRILLOCHEM SERVICES LIMITED,2.17E+07,1.49E+07,36575497,3.29E+07,1571217461534.jpg,1571217512128.jpg,43,24,67,yes,yes,yes,n/a,90
rivers,n/a,n/a,n/a,opobo nkoro,MAINTENANCE OF OHIA OKEKE ROAD,QUEENS TOWN OPOBO,on going,70%,ED AND FELIX DEVELOPMENT CONCEPT LIMITED,2.00E+07,1.50E+07,35015325,2.43E+07,1571219524253.jpg,1571219557393.jpg,43,24,67,yes,yes,yes,n/a,70
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
rivers,n/a,n/a,n/a,opobo nkoro,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,warri south,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,uvwie,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
delta,n/a,oshimili north,n/a,n/a,VEGETATION CONTROL AND PAINTING OF KERBS SECTION 1,ASABA BENIN EXPRESS WAY ISSELE ASAGBA JUNCTION ASABA,completed,12 MONTHS ACTIVITY INVOLVING CONTINOUS VEGETATION CONTROL AND PAINTING OF KERBS,COMPASS CIV AND ASSOCIATES LIMITED,1.08E+07,1.09E+07,21770902,21770902,1570553061208.jpg,1570554127502.jpg,39,6,0,n/a,n/a,n/a,n/a,100
